"name","category","BulkyDay","SampleAddress"
"Canyon View","normies","*Week of 09/27/2021","17439 Emerald Canyon Dr, San Antonio, TX 78232, USA"
"Redland Springs","normies","*Week of 09/27/2021","16427 Encanto Pass, San Antonio, TX 78247, USA"
"Spring Creek Neighborhood Alliance","normies","*Week of 09/27/2021","5902 Spring Crossing, San Antonio, TX 78247, USA"
"Villas at Redland Ranch",,"*Week of 09/27/2021","3356 Tumblewood Trail, San Antonio, TX 78247, USA"
"The Overlook",,"*Week of 09/27/2021","515 Texas Point, San Antonio, TX 78260, USA"
"Green Spring Valley","normies","*Week of 09/27/2021","3531 Green Spring, San Antonio, TX 78247, USA"
"Gold Canyon",,"*Week of 09/27/2021","2314 Ruby Oaks, San Antonio, TX 78232, USA"
"Fox Run","normies","*Week of 09/27/2021","16245 Nacogdoches Rd, San Antonio, TX 78247, USA"
"Santa Fe Trails","normies","*Week of 10/04/2021","1811 Fieldstone Rd, San Antonio, TX 78232, USA"
"Ridgestone","normies","*Week of 10/04/2021","13827 Chevy Oak, San Antonio, TX 78247, USA"
"Ridgestone No. 9","normies","*Week of 10/04/2021","3106 Stoney Mist, San Antonio, TX 78247, USA"
"Sun Gate","normies","*Week of 10/04/2021","9707 Cobb St, San Antonio, TX 78217, USA"
"Shearer Hills - Ridgeview","normies","*Week of 10/04/2021","7551 McCullough Ave, San Antonio, TX 78216, USA"
"Woodmont",,"*Week of 10/04/2021","8800 Starcrest Dr, San Antonio, TX 78217, USA"
"Bluff Creek",,"*Week of 10/04/2021","34 Morgans Bluff, San Antonio, TX 78216, USA"
"The Oaks/ Oak Park - Northwood",,"*Week of 10/04/2021","2300 Nacogdoches Rd, San Antonio, TX 78209, USA"
"San Antonio Cambridge Village/ East Terrell Hills",,"*Week of 10/04/2021","4103 Cape Cod, San Antonio, TX 78218, USA"
"Royal Ridge","normies","*Week of 10/04/2021","6006 Crown Way, San Antonio, TX 78239, USA"
"Bitters Enclave",,"*Week of 10/04/2021","12474 Starcrest Dr, San Antonio, TX 78216, USA"
"Shady Oaks","normies","*Week of 10/04/2021","207 Rio Seco, San Antonio, TX 78232, USA"
"Blossom Park","normies","*Week of 10/04/2021","12102 Apricot Dr, San Antonio, TX 78247, USA"
"North Central","normies","*Week of 10/04/2021","502 Green Meadow Blvd, San Antonio, TX 78213, USA"
"The Bluffs of Henderson Pass",,"*Week of 10/04/2021","2327 Goat Creek Run, San Antonio, TX 78232, USA"
"Perrin Park",,"*Week of 10/04/2021","4123 First View Dr, San Antonio, TX 78217, USA"
"Terrell Heights","normies","*Week of 10/04/2021","160 Chevy Chase Dr, San Antonio, TX 78209, USA"
"Lorrence Creek","normies","*Week of 10/04/2021","2114 Green Creek St, San Antonio, TX 78232, USA"
"Hill Country Villas",,"*Week of 10/04/2021","13021 Trent St, San Antonio, TX 78232, USA"
"Hampshire House",,"*Week of 10/04/2021","7809 Broadway, San Antonio, TX 78209, USA"
"Monterrey Village HOA","normies","*Week of 10/04/2021","6630 Buckhorn Cliff, San Antonio, TX 78233, USA"
"General Krueger","rich","*Week of 10/04/2021","506 Cicero Ave, San Antonio, TX 78218, USA"
"Gardens at Brookhollow",,"*Week of 10/04/2021","550 Heimer Rd, San Antonio, TX 78232, USA"
"North Central Thousand Oaks","normies","*Week of 10/04/2021","2526 Moss Branch, San Antonio, TX 78232, USA"
"Forest Oak",,"*Week of 10/04/2021","3200 Nacogdoches Rd, San Antonio, TX 78217, USA"
"Countryside San Pedro","normies","*Week of 10/04/2021","12815 Country Creek, San Antonio, TX 78216, USA"
"North Shearer Hills","normies","*Week of 10/04/2021","355 Ave Maria Dr, San Antonio, TX 78216, USA"
"Wilshire Village","rich","*Week of 10/04/2021","1314 Austin Hwy, San Antonio, TX 78209, USA"
"North Central Heritage",,"*Week of 10/04/2021","13303 Jones Maltsberger Rd, San Antonio, TX 78247, USA"
"Hunters Mill",,"*Week of 10/04/2021","13506 Hickory Tavern, San Antonio, TX 78247, USA"
"Oak Park - Northwood","rich","*Week of 10/04/2021","238 Rockhill Dr, San Antonio, TX 78209, USA"
"Whisper Hollow/ North Central Thousand Oaks","normies","*Week of 10/04/2021","14206 Silverhollow, San Antonio, TX 78232, USA"
"East Terrell Hills","normies","*Week of 10/04/2021","4306 Judivan, San Antonio, TX 78218, USA"
"Wilshire","normies","*Week of 10/04/2021","6944 S Sunbelt Dr, San Antonio, TX 78218, USA"
"The Park-Waters",,"*Week of 10/11/2021","30 Imperial Way, San Antonio, TX 78248, USA"
"Dellview Area","hipsters","*Week of 10/11/2021","330 Savannah Dr, San Antonio, TX 78213, USA"
"The Park at Deerfield","rich","*Week of 10/11/2021","1207 Fawn Haven, San Antonio, TX 78248, USA"
"Hunters Creek North","rich","*Week of 10/11/2021","13211 Hunters Lark, San Antonio, TX 78230, USA"
"Hunters Creek","normies","*Week of 10/11/2021","13050 N Hunters Cir, San Antonio, TX 78230, USA"
"Vista Del Norte","normies","*Week of 10/11/2021","1307 Vista Del Rio, San Antonio, TX 78216, USA"
"Devonshire Condominiums",,"*Week of 10/11/2021","11843 Braesview, San Antonio, TX 78213, USA"
"Hills and Dales","rich","*Week of 10/11/2021","15810 Purple Sage Rd, San Antonio, TX 78255, USA"
"Deer Hollow",,"*Week of 10/11/2021","1907 Doe Crest, San Antonio, TX 78248, USA"
"Hidden Forest","rich","*Week of 10/11/2021","15701 Horse Creek St, San Antonio, TX 78232, USA"
"Walden Meadows/ Crownridge of Texas",,"*Week of 10/11/2021","6627 Shady Bend Dr, San Antonio, TX 78256, USA"
"Whispering Oaks","normies","*Week of 10/11/2021","11515 Whisper Forest, San Antonio, TX 78230, USA"
